ID,PASSPORT
0,56
1,40
2,24
3,49
4,4
5,71
6,93
7,58
8,52
9,51
10,41
11,49
12,41
13,23
14,13
15,31
16,25
17,1
18,81
19,35
20,9
21,42
22,97
23,71
24,27
25,49
26,30
27,34
28,95
29,39
30,24
31,61
32,24
33,77
34,42
35,49
36,68
37,36
38,30
39,45
40,49
41,39
42,56
43,97
44,20
45,50
46,55
47,49
48,88
49,87
50,6
51,53
52,28
53,78
54,2
55,91
56,39
57,38
58,56
59,33
60,66
61,83
62,44
63,34
64,29
65,20
66,4
67,37
68,28
69,55
70,49
71,49
72,23
73,92
74,49
75,51
76,77
77,22
78,49
79,81
80,94
81,85
82,0
83,14
84,49
85,49
86,16
87,49
88,91
89,39
90,19
91,66
92,52
93,10
94,78
95,74
96,76
97,95
98,80
99,3
100,82
101,49
102,19
103,21
104,94
105,77
106,49
107,5
108,49
109,50
110,17
111,34
112,54
113,13
114,91
115,53
116,49
117,49
118,46
119,49
120,24
121,32
122,9
123,41
124,34
125,66
126,30
127,49
128,49
129,87
130,14
131,29
132,49
133,98
134,35
135,39
136,75
137,87
138,49
139,1
140,67
141,6
142,49
143,9
144,90
145,49
146,49
147,88
148,42
149,16
150,83
151,77
152,79
153,5
154,49
155,12
156,49
157,93
158,42
159,12
160,88
161,26
162,49
163,72
164,32
165,60
166,94
167,14
168,15
169,59
170,11
171,73
172,49
173,49
174,32
175,51
176,10
177,6
178,49
179,24
180,88
181,86
182,63
183,79
184,90
185,49
186,49
187,87
188,88
189,56
190,73
191,18
192,35
193,71
194,19
195,49
196,97
197,32
198,49
199,72
200,37
201,48
202,7
203,31
204,32
205,77
206,47
207,51
208,49
209,49
210,49
211,52
212,13
213,23
214,33
215,49
216,99
217,88
218,8
219,0
220,49
221,49
222,30
223,37
224,66
225,13
226,36
227,65
228,92
229,55
230,30
231,95
232,29
233,54
234,93
235,1
236,12
237,63
238,58
239,92
240,79
241,25
242,70
243,49
244,47
245,92
246,95
247,34
248,17
249,38
250,79
251,60
252,82
253,35
254,8
255,65
256,71
257,73
258,65
259,93
260,30
261,83
262,49
263,35
264,26
265,20
266,65
267,10
268,68
269,70
270,69
271,93
272,26
273,74
274,67
275,91
276,47
277,35
278,87
279,44
280,32
281,42
282,39
283,31
284,66
285,10
286,81
287,90
288,9
289,37
290,95
291,56
292,89
293,37
294,90
295,12
296,50
297,17
298,97
299,38
300,11
301,77
302,45
303,17
304,82
305,8
306,95
307,14
308,75
309,4
310,55
311,38
312,22
313,79
314,34
315,32
316,74
317,95
318,34
319,14
320,80
321,77
322,36
323,36
324,16
325,45
326,18
327,73
328,12
329,49
330,5
331,72
332,67
333,86
334,37
335,41
336,15
337,24
338,22
339,45
340,1
341,91
342,17
343,47
344,77
345,13
346,12
347,34
348,64
349,20
350,33
351,57
352,44
353,90
354,54
355,0
356,85
357,61
358,5
359,20
360,66
361,49
362,46
363,32
364,30
365,17
366,99
367,43
368,44
369,93
370,27
371,26
372,25
373,89
374,10
375,16
376,64
377,79
378,93
379,10
380,9
381,93
382,64
383,32
384,62
385,47
386,37
387,74
388,93
389,5
390,44
391,1
392,55
393,50
394,93
395,52
396,12
397,38
398,30
399,37
400,83
401,29
402,8
403,50
404,44
405,67
406,34
407,24
408,58
409,42
410,78
411,49
412,2
413,99
414,33
415,8
416,21
417,99
418,18
419,7
420,23
421,53
422,91
423,42
424,41
425,11
426,18
427,6
428,64
429,63
430,6
431,15
432,50
433,55
434,54
435,23
436,3
437,67
438,85
439,72
440,36
441,39
442,94
443,93
444,90
445,69
446,61
447,59
448,18
449,36
450,64
451,81
452,97
453,74
454,10
455,46
456,73
457,36
458,97
459,74
460,47
461,39
462,71
463,15
464,39
465,48
466,18
467,54
468,53
469,25
470,71
471,55
472,74
473,42
474,39
475,83
476,77
477,51
478,85
479,4
480,84
481,23
482,12
483,67
484,16
485,29
486,2
487,93
488,84
489,75
490,1
491,59
492,82
493,69
494,81
495,29
496,98
497,68
498,32
499,39
500,94
501,81
502,5
503,5
504,20
505,23
506,50
507,82
508,12
509,75
510,14
511,75
512,57
513,67
514,23
515,81
516,20
517,77
518,95
519,94
520,14
521,88
522,7
523,99
524,39
525,4
526,75
527,76
528,76
529,36
530,41
531,92
532,39
533,73
534,16
535,0
536,70
537,54
538,51
539,56
540,68
541,77
542,78
543,89
544,85
545,0
546,6
547,48
548,48
549,2
550,45
551,96
552,95
553,28
554,98
555,4
556,73
557,87
558,86
559,84
560,28
561,69
562,79
563,82
564,98
565,6
566,2
567,73
568,89
569,84
